  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  1.00000E-02 -4.99000E+02 -9.99997E+01  9.99999E+01  1.15329E-01 -1.15329E-03 -3.83876E-02
  2.00000E-02 -4.98000E+02 -9.99983E+01  9.99997E+01  2.30436E-01 -2.30436E-03 -3.83136E-02
  3.00000E-02 -4.97000E+02 -9.99957E+01  9.99994E+01  3.45321E-01 -3.45322E-03 -3.82396E-02
  4.00000E-02 -4.96000E+02 -9.99919E+01  9.99989E+01  4.59983E-01 -4.59985E-03 -3.81656E-02
  5.00000E-02 -4.95000E+02 -9.99871E+01  9.99984E+01  5.74423E-01 -5.74426E-03 -3.80916E-02
  6.00000E-02 -4.94000E+02 -9.99810E+01  9.99976E+01  6.88640E-01 -6.88645E-03 -3.80175E-02
  7.00000E-02 -4.93000E+02 -9.99739E+01  9.99968E+01  8.02634E-01 -8.02642E-03 -3.79435E-02
  8.00000E-02 -4.92000E+02 -9.99655E+01  9.99958E+01  9.16404E-01 -9.16417E-03 -3.78694E-02
  9.00000E-02 -4.91000E+02 -9.99561E+01  9.99947E+01  1.02995E+00 -1.02997E-02 -3.77954E-02
  1.00000E-01 -4.90000E+02 -9.99455E+01  9.99935E+01  1.14328E+00 -1.14330E-02 -3.77213E-02
  1.10000E-01 -4.89000E+02 -9.99338E+01  9.99921E+01  1.25638E+00 -1.25641E-02 -3.76472E-02
  1.20000E-01 -4.88000E+02 -9.99210E+01  9.99906E+01  1.36925E+00 -1.36929E-02 -3.75731E-02
  1.30000E-01 -4.87000E+02 -9.99070E+01  9.99890E+01  1.48190E+00 -1.48196E-02 -3.74990E-02
  1.40000E-01 -4.86001E+02 -9.98919E+01  9.99873E+01  1.59433E+00 -1.59440E-02 -3.74249E-02
  1.50000E-01 -4.85001E+02 -9.98757E+01  9.99854E+01  1.70654E+00 -1.70662E-02 -3.73508E-02
  1.60000E-01 -4.84001E+02 -9.98583E+01  9.99835E+01  1.81852E+00 -1.81862E-02 -3.72766E-02
  1.70000E-01 -4.83001E+02 -9.98399E+01  9.99814E+01  1.93027E+00 -1.93039E-02 -3.72025E-02
  1.80000E-01 -4.82001E+02 -9.98203E+01  9.99791E+01  2.04180E+00 -2.04194E-02 -3.71283E-02
  1.90000E-01 -4.81001E+02 -9.97996E+01  9.99768E+01  2.15311E+00 -2.15327E-02 -3.70542E-02
  2.00000E-01 -4.80002E+02 -9.97778E+01  9.99744E+01  2.26418E+00 -2.26438E-02 -3.69800E-02
  2.10000E-01 -4.79002E+02 -9.97549E+01  9.99718E+01  2.37504E+00 -2.37526E-02 -3.69058E-02
  2.20000E-01 -4.78002E+02 -9.97308E+01  9.99691E+01  2.48567E+00 -2.48592E-02 -3.68316E-02
  2.30000E-01 -4.77003E+02 -9.97057E+01  9.99663E+01  2.59607E+00 -2.59636E-02 -3.67574E-02
  2.40000E-01 -4.76003E+02 -9.96795E+01  9.99634E+01  2.70625E+00 -2.70658E-02 -3.66832E-02
  2.50000E-01 -4.75003E+02 -9.96521E+01  9.99603E+01  2.81620E+00 -2.81657E-02 -3.66090E-02
  2.60000E-01 -4.74004E+02 -9.96237E+01  9.99572E+01  2.92593E+00 -2.92634E-02 -3.65347E-02
  2.70000E-01 -4.73004E+02 -9.95941E+01  9.99539E+01  3.03543E+00 -3.03589E-02 -3.64605E-02
  2.80000E-01 -4.72005E+02 -9.95635E+01  9.99505E+01  3.14470E+00 -3.14522E-02 -3.63862E-02
  2.90000E-01 -4.71005E+02 -9.95318E+01  9.99471E+01  3.25375E+00 -3.25432E-02 -3.63119E-02
  3.00000E-01 -4.70006E+02 -9.94990E+01  9.99435E+01  3.36257E+00 -3.36320E-02 -3.62377E-02
  3.10000E-01 -4.69006E+02 -9.94651E+01  9.99397E+01  3.47116E+00 -3.47186E-02 -3.61634E-02
  3.20000E-01 -4.68007E+02 -9.94301E+01  9.99359E+01  3.57953E+00 -3.58029E-02 -3.60891E-02
  3.30000E-01 -4.67007E+02 -9.93940E+01  9.99320E+01  3.68767E+00 -3.68851E-02 -3.60148E-02
  3.40000E-01 -4.66008E+02 -9.93569E+01  9.99279E+01  3.79558E+00 -3.79649E-02 -3.59405E-02
  3.50000E-01 -4.65009E+02 -9.93187E+01  9.99238E+01  3.90327E+00 -3.90426E-02 -3.58662E-02
